ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2015,RJ,33,0.785,0.785,0.76,0.808
2010,RJ,33,0.724,0.724,NA,NA
2010,RJ,33,0.692,0.692,NA,NA
2010,RJ,33,0.718,0.718,NA,NA
2010,RJ,33,0.684,0.684,NA,NA
2010,RJ,33,0.728,0.728,NA,NA
2010,RJ,33,0.733,0.733,NA,NA
2010,RJ,33,0.733,0.733,NA,NA
2010,RJ,33,0.729,0.729,NA,NA
2010,RJ,33,0.684,0.684,NA,NA
2010,RJ,33,0.732,0.732,NA,NA
2010,RJ,33,0.735,0.735,NA,NA
2010,RJ,33,0.7,0.7,NA,NA
2010,RJ,33,0.691,0.691,NA,NA
2010,RJ,33,0.716,0.716,NA,NA
2010,RJ,33,0.713,0.713,NA,NA
2010,RJ,33,0.648,0.648,NA,NA
2010,RJ,33,0.696,0.696,NA,NA
2010,RJ,33,0.726,0.726,NA,NA
2010,RJ,33,0.685,0.685,NA,NA
2010,RJ,33,0.712,0.712,NA,NA
2010,RJ,33,0.729,0.729,NA,NA
2010,RJ,33,0.659,0.659,NA,NA
2010,RJ,33,0.711,0.711,NA,NA
2010,RJ,33,0.722,0.722,NA,NA
2010,RJ,33,0.698,0.698,NA,NA
2010,RJ,33,0.761,0.761,NA,NA
2010,RJ,33,0.693,0.693,NA,NA
2010,RJ,33,0.715,0.715,NA,NA
2010,RJ,33,0.688,0.688,NA,NA
2010,RJ,33,0.713,0.713,NA,NA
2010,RJ,33,0.73,0.73,NA,NA
2010,RJ,33,0.737,0.737,NA,NA
2010,RJ,33,0.659,0.659,NA,NA
2010,RJ,33,0.668,0.668,NA,NA
2010,RJ,33,0.764,0.764,NA,NA
2010,RJ,33,0.703,0.703,NA,NA
2010,RJ,33,0.709,0.709,NA,NA
2010,RJ,33,0.753,0.753,NA,NA
2010,RJ,33,0.765,0.765,NA,NA
2010,RJ,33,0.736,0.736,NA,NA
2010,RJ,33,0.745,0.745,NA,NA
2010,RJ,33,0.713,0.713,NA,NA
2010,RJ,33,0.753,0.753,NA,NA
2010,RJ,33,0.837,0.837,NA,NA
2010,RJ,33,0.745,0.745,NA,NA
2010,RJ,33,0.713,0.713,NA,NA
2010,RJ,33,0.72,0.72,NA,NA
2010,RJ,33,0.702,0.702,NA,NA
2010,RJ,33,0.693,0.693,NA,NA
2010,RJ,33,0.671,0.671,NA,NA
2010,RJ,33,0.745,0.745,NA,NA
2010,RJ,33,0.715,0.715,NA,NA
2010,RJ,33,0.708,0.708,NA,NA
2010,RJ,33,0.697,0.697,NA,NA
2010,RJ,33,0.713,0.713,NA,NA
2010,RJ,33,0.69,0.69,NA,NA
2010,RJ,33,0.68,0.68,NA,NA
2010,RJ,33,0.704,0.704,NA,NA
2010,RJ,33,0.768,0.768,NA,NA
2010,RJ,33,0.71,0.71,NA,NA
2010,RJ,33,0.683,0.683,NA,NA
2010,RJ,33,0.68,0.68,NA,NA
2010,RJ,33,0.773,0.773,NA,NA
2010,RJ,33,0.799,0.799,NA,NA
2010,RJ,33,0.668,0.668,NA,NA
2010,RJ,33,0.718,0.718,NA,NA
2010,RJ,33,0.691,0.691,NA,NA
2010,RJ,33,0.639,0.639,NA,NA
2010,RJ,33,0.739,0.739,NA,NA
2010,RJ,33,0.671,0.671,NA,NA
2010,RJ,33,0.719,0.719,NA,NA
2010,RJ,33,0.652,0.652,NA,NA
2010,RJ,33,0.66,0.66,NA,NA
2010,RJ,33,0.712,0.712,NA,NA
2010,RJ,33,0.646,0.646,NA,NA
2010,RJ,33,0.709,0.709,NA,NA
2010,RJ,33,0.713,0.713,NA,NA
2010,RJ,33,0.654,0.654,NA,NA
2010,RJ,33,0.611,0.611,NA,NA
2010,RJ,33,0.654,0.654,NA,NA
2010,RJ,33,0.73,0.73,NA,NA
2010,RJ,33,0.667,0.667,NA,NA
2010,RJ,33,0.725,0.725,NA,NA
2010,RJ,33,0.659,0.659,NA,NA
2010,RJ,33,0.714,0.714,NA,NA
2010,RJ,33,0.771,0.771,NA,NA
