ANO,NIVEL,CODMUNRES,POPRE_T,POPRC_T,POPRC_M,POPRC_F,POPRC_15,POPRC_15_49,POPRC_50,POPRC_F_15,POPRC_F_15_49,POPRC_F_50
2015,UF,33,33100048,31979858,15251358,16728500,3385639,8695427,3908863,1666868,4482651,2214731
2015,MUNICIPIO,33,16550024,15989929,7625679,8364250,0,0,0,0,0,0
2015,MUNICIPIO,3300100,188276,169511,84666,84845,41335,97270,30906,20473,48873,15499
2015,MUNICIPIO,3300159,11023,10213,5023,5190,2049,5508,2656,1034,2793,1363
2015,MUNICIPIO,3300209,122865,112008,54283,57725,25464,58608,27936,12435,30273,15017
2015,MUNICIPIO,3300225,11970,11423,5661,5762,2545,6176,2702,1223,3125,1414
2015,MUNICIPIO,3300233,31067,27560,13742,13818,6540,15911,5109,3224,8035,2559
2015,MUNICIPIO,3300258,29097,27715,13627,14088,6216,14696,6803,3076,7498,3514
2015,MUNICIPIO,3300308,96865,94778,45154,49624,19977,50348,24453,9876,26037,13711
2015,MUNICIPIO,3300407,179915,177813,85792,92021,37289,97499,43025,18127,50276,23618
2015,MUNICIPIO,3300456,481127,469332,226757,242575,116878,260717,91737,57457,134479,50639
2015,MUNICIPIO,3300506,26278,25333,12720,12613,5420,13860,6053,2697,6854,3062
2015,MUNICIPIO,3300605,35964,35411,17196,18215,7567,18497,9347,3746,9416,5053
2015,MUNICIPIO,3300704,208451,186227,90831,95396,44360,101635,40232,21765,52265,21366
2015,MUNICIPIO,3300803,56290,54273,27062,27211,12267,29765,12241,5963,14900,6348
2015,MUNICIPIO,3300902,14836,14827,7407,7420,2885,7616,4326,1380,3847,2193
2015,MUNICIPIO,3300936,15008,13359,6788,6571,3021,7451,2887,1439,3732,1400
2015,MUNICIPIO,3300951,8250,8180,4076,4104,1810,4335,2035,857,2184,1063
2015,MUNICIPIO,3301009,483970,463731,223259,240472,107288,252134,104309,52873,129593,58006
2015,MUNICIPIO,3301108,19759,19830,9831,9999,4361,10463,5006,2158,5289,2552
2015,MUNICIPIO,3301157,12558,12600,6270,6330,2638,6528,3434,1266,3317,1747
2015,MUNICIPIO,3301207,18200,17434,8600,8834,3831,9162,4441,1855,4665,2314
2015,MUNICIPIO,3301306,40305,35347,17423,17924,8302,19543,7502,4128,9850,3946
2015,MUNICIPIO,3301405,22163,21211,10549,10662,4956,11566,4689,2458,5752,2452
2015,MUNICIPIO,3301504,21063,20430,9781,10649,4360,10981,5089,2149,5694,2806
2015,MUNICIPIO,3301603,11121,10930,5511,5419,2484,6010,2436,1200,3034,1185
2015,MUNICIPIO,3301702,882729,855048,411074,443974,205556,474220,175272,101629,244494,97851
2015,MUNICIPIO,3301801,13626,13237,6449,6788,2565,7196,3476,1297,3634,1857
2015,MUNICIPIO,3301850,56515,51483,25280,26203,12731,28516,10236,6239,14697,5267
2015,MUNICIPIO,3301876,25901,22851,11046,11805,4819,11617,6415,2346,6009,3450
2015,MUNICIPIO,3301900,229007,218008,106190,111818,51048,121563,45397,25046,62466,24306
2015,MUNICIPIO,3302007,119143,109091,54409,54682,26728,60810,21553,13097,30346,11239
2015,MUNICIPIO,3302056,14569,14063,6853,7210,2684,7226,4153,1316,3699,2195
2015,MUNICIPIO,3302106,22779,22899,11192,11707,4327,11935,6637,2125,6038,3544
2015,MUNICIPIO,3302205,99021,95841,46553,49288,19271,52458,24112,9377,26883,13028
2015,MUNICIPIO,3302254,30240,28783,14213,14570,6592,16073,6118,3267,8117,3186
2015,MUNICIPIO,3302270,99863,95492,48080,47412,24776,54332,16384,12170,26477,8765
2015,MUNICIPIO,3302304,7298,7487,3751,3736,1696,3900,1891,837,1938,961
2015,MUNICIPIO,3302403,234628,206728,102432,104296,47876,123483,35369,23787,61953,18556
2015,MUNICIPIO,3302452,5398,5269,2528,2741,1267,2737,1265,640,1415,686
2015,MUNICIPIO,3302502,234809,227322,110576,116746,56155,123344,47823,27734,63091,25921
2015,MUNICIPIO,3302601,40779,36456,17962,18494,8077,19785,8594,4018,10101,4375
2015,MUNICIPIO,3302700,146549,127461,62649,64812,25979,68998,32484,12644,35212,16956
2015,MUNICIPIO,3302809,18099,17935,8651,9284,3455,9479,5001,1684,4895,2705
2015,MUNICIPIO,3302858,170751,168376,79790,88586,38139,91773,38464,18686,47813,22087
2015,MUNICIPIO,3302908,24842,24642,11719,12923,4981,12473,7188,2425,6475,4023
2015,MUNICIPIO,3303005,26665,26843,13026,13817,6024,13995,6824,2981,7096,3740
2015,MUNICIPIO,3303104,15013,15082,7445,7637,3201,7743,4138,1590,3901,2146
2015,MUNICIPIO,3303203,158309,157425,73674,83751,32447,84796,40182,15939,44296,23516
2015,MUNICIPIO,3303302,496696,487562,225838,261724,81201,258877,147484,40033,135018,86673
2015,MUNICIPIO,3303401,184786,182082,87254,94828,35838,97801,48443,17607,50254,26967
2015,MUNICIPIO,3303500,807492,796257,381750,414507,190715,438663,166879,94212,226790,93505
2015,MUNICIPIO,3303609,49521,47124,23793,23331,8694,27454,10976,4104,13707,5520
2015,MUNICIPIO,3303708,42356,41084,19751,21333,9235,21618,10231,4580,11180,5573
2015,MUNICIPIO,3303807,40478,37533,18964,18569,9569,20645,7319,4704,10266,3599
2015,MUNICIPIO,3303856,26818,26359,12817,13542,6198,14033,6128,3112,7185,3245
2015,MUNICIPIO,3303906,298142,295917,140996,154921,60616,158029,77272,29758,81254,43909
2015,MUNICIPIO,3303955,23887,22719,11034,11685,5000,12437,5282,2468,6398,2819
2015,MUNICIPIO,3304003,27838,26314,12917,13397,5617,14412,6285,2811,7326,3260
2015,MUNICIPIO,3304102,18059,17760,8874,8886,4112,9349,4299,1974,4647,2265
2015,MUNICIPIO,3304110,18266,16592,8242,8350,4073,9406,3113,1996,4739,1615
2015,MUNICIPIO,3304128,13543,12793,6238,6555,2898,7035,2860,1476,3529,1550
2015,MUNICIPIO,3304144,143632,137962,66585,71377,34981,76640,26341,17296,39539,14542
2015,MUNICIPIO,3304151,22700,20242,10043,10199,4870,11073,4299,2389,5621,2189
2015,MUNICIPIO,3304201,125214,119769,58268,61501,26283,67188,26298,12941,34152,14408
2015,MUNICIPIO,3304300,57615,55551,27318,28233,12174,30795,12582,6043,15600,6590
2015,MUNICIPIO,3304409,17826,17425,8769,8656,4073,9279,4073,2023,4613,2020
2015,MUNICIPIO,3304508,8892,8561,4211,4350,2020,4579,1962,998,2342,1010
2015,MUNICIPIO,3304524,131976,105676,52207,53469,25091,60892,19693,12137,30918,10414
2015,MUNICIPIO,3304557,6476631,6320446,2959817,3360629,1226358,3393433,1700655,603826,1758145,998658
2015,MUNICIPIO,3304607,10225,10321,5275,5046,2280,5233,2808,1101,2589,1356
2015,MUNICIPIO,3304706,41178,40589,19961,20628,8302,21614,10673,4074,10926,5628
2015,MUNICIPIO,3304755,41291,41354,20808,20546,9907,22141,9306,4905,11034,4607
2015,MUNICIPIO,3304805,37703,37543,18394,19149,7663,19592,10288,3731,10016,5402
2015,MUNICIPIO,3304904,1038081,999728,475264,524464,206694,557333,235701,102092,289727,132645
2015,MUNICIPIO,3305000,34583,32747,16229,16518,7007,17696,8044,3485,8857,4176
2015,MUNICIPIO,3305109,460625,458673,218104,240569,104563,250607,103503,51509,130094,58966
2015,MUNICIPIO,3305133,7206,7003,3498,3505,1408,3861,1734,707,1934,864
2015,MUNICIPIO,3305158,20916,20251,10145,10106,4722,11217,4312,2307,5609,2190
2015,MUNICIPIO,3305208,96920,87875,43431,44444,21293,48163,18419,10372,24402,9670
2015,MUNICIPIO,3305307,9054,8895,4467,4428,1862,4649,2384,963,2303,1162
2015,MUNICIPIO,3305406,17606,17525,8766,8759,3889,9292,4344,1899,4633,2227
2015,MUNICIPIO,3305505,82359,74234,36855,37379,16522,39504,18208,8018,19908,9453
2015,MUNICIPIO,3305554,82892,78186,38433,39753,18475,43407,16304,9012,22080,8661
2015,MUNICIPIO,3305604,21307,21349,10808,10541,5442,11403,4504,2602,5722,2217
2015,MUNICIPIO,3305703,15127,14900,7652,7248,3267,8484,3149,1596,4116,1536
2015,MUNICIPIO,3305752,32426,30732,15289,15443,7302,17014,6416,3656,8532,3255
2015,MUNICIPIO,3305802,173060,163746,78275,85471,36028,88115,39603,17864,45867,21740
2015,MUNICIPIO,3305901,10350,10289,5258,5031,2243,5409,2637,1109,2619,1303
2015,MUNICIPIO,3306008,79264,77432,37014,40418,16924,41511,18997,8361,21435,10622
2015,MUNICIPIO,3306107,73725,71843,34450,37393,15270,37124,19449,7461,19144,10788
2015,MUNICIPIO,3306156,10402,9475,4756,4719,2423,5196,1856,1206,2573,940
2015,MUNICIPIO,3306206,35432,34410,16391,18019,7440,18417,8553,3712,9560,4747
2015,MUNICIPIO,3306305,262970,257803,122919,134884,50860,140076,66867,24905,72921,37058
