ANO,NIVEL,CODMUNRES,TO,TORC,TORCR,TO_NN,TO_N,TO_CB_I,TO_CB_N,TO_CB_C,TO_CB_R,TO_CB_O,TO_M,TO_F,TO_F_IF,TO_FT,TO_NT,TO_NT_P,TO_NT_T,TO_PNT,TO_MT_G,TONT_B,TONT_PT,TONT_A,TONT_PD,TONT_I,TO_MT,TO_MT_DG,TO_MT_PT,TO_MT_AB,TO_MT_42,TO_MT_43,TO_MT_P,TO_MT_P_I,TO_MT_P_ES,TO_MT_P_EFI,TO_MT_P_EFII,TO_MT_P_EM,TO_MT_P_ESI,TO_MT_P_ESC
2015,UF,33,132714,0,0,13263,119451,7645,22073,38313,16866,34554,0,0,0,0,1986,1421,565,989,49,741,84,4,985,2,165,49,6,8,102,0,165,164,0,73,73,9,0,0
2015,MUNICIPIO,330000,1227,0,0,495,732,67,27,187,114,337,0,0,0,0,4,4,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MUNICIPIO,330010,1028,0,0,179,849,33,168,286,114,248,0,0,0,0,23,14,9,7,0,13,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MUNICIPIO,330015,88,0,0,11,77,2,12,32,4,27,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MUNICIPIO,330020,1060,0,0,129,931,55,164,276,117,319,0,0,0,0,16,12,4,8,0,6,1,0,8,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0
2015,MUNICIPIO,330022,89,0,0,6,83,1,17,27,13,25,0,0,0,0,3,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MUNICIPIO,330023,215,0,0,25,190,10,45,49,26,60,0,0,0,0,4,3,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MUNICIPIO,330025,221,0,0,16,205,9,41,55,27,73,0,0,0,0,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,MUNICIPIO,330030,836,0,0,59,777,26,155,301,73,222,0,0,0,0,9,6,3,1,1,2,2,0,5,0,2,1,0,0,1,0,2,2,0,2,0,0,0,0
2015,MUNICIPIO,330040,1367,0,0,119,1248,62,236,408,147,395,0,0,0,0,14,9,5,6,0,5,0,0,7,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2015,MUNICIPIO,330045,3318,0,0,363,2955,195,429,989,387,955,0,0,0,0,66,45,21,39,0,14,4,0,43,1,2,0,0,0,2,0,2,2,0,0,2,0,0,0
2015,MUNICIPIO,330050,195,0,0,13,182,6,36,63,21,56,0,0,0,0,3,2,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
