ANO,NIVEL,CODMUNRES,TN,TNRC,TNRCR,TGI_15,TGI_15_19,TGI_20_24,TGI_25_29,TGI_30_34,TGI_35_39,TGI_40_44,TGI_45_49,TGI_50,TGIF,IM_P25,IM_P50,IM_P75,IM_MD,IM_DP,EM_S,EM_FI,EM_FII,EM_M,EM_SI,EM_SC,TGRC_B,TGRC_PT,TGRC_A,TGRC_PD,TGRC_I,TGSC,TGCC,TGPRI,TGNPRI,TGU,TGG,TGD_22,TGD_22_27,TGD_28_31,TGD_32_36,TGD_37_41,TGD_42,TGD_PRT,TGD_AT,TGD_PST,DG_P25,DG_P50,DG_P75,DG_MD,DG_DP,TKC_NR,TKC_ID,TKC_IT,TKC_AD,TKC_MAD,TGPRG_S,TGPRG_N,TPV,TPC,TRAP_C,TRAP_P,TRAP_T,TGROB_1,TGROB_2,TGROB_3,TGROB_4,TGROB_5,TGROB_6,TGROB_7,TGROB_8,TGROB_9,TGROB_10,TNLOC_H,TNLOC_ES,TNLOC_D,TNLOC_O,TNLOC_AI,TRS_M,TRS_F,TRRC_B,TRRC_PT,TRRC_A,TRRC_PD,TRRC_I,TRP_BP,TRP_N,TRP_M,PESO_P25,PESO_P50,PESO_P75,PESO_MD,PESO_DP,TRPIG_P,TRPIG_A,TRPIG_G,TRAPG5_B,TRAPG5_N,APG5_MD,APG5_DP,TRAC,TRSAC
2015,UF,33,236960,0,10298,1849,38856,58120,55385,48637,27337,6382,361,30,235078,21,26,32,26.620289757213335,6.781544234344567,340,8601,60592,119687,11757,33331,82045,23357,615,123943,151,0,0,137241,0,231629,5095,86,1275,2532,22007,200452,5347,25898,200449,5347,38,39,40,38.40843094771552,2.2139385434576515,2266,49074,13821,16628,141523,61748,175212,92978,143770,218986,7689,577,0,0,0,0,0,0,0,0,0,20830,235093,848,728,285,0,120905,116027,82047,23358,615,123947,151,21474,203464,12017,2885,3200,3515,3170.1496064653625,566.2664809010233,0,0,0,2656,225513,9.18860581411147,0.8375813086065621,1667,228925
2015,MUNICIPIO,330000,14,0,3,1,2,1,6,2,0,0,0,0,11,22.25,26,27.25,24.25,5.327885475154626,1,3,1,5,0,0,3,1,0,7,0,0,0,8,0,13,0,0,0,0,5,7,1,5,7,1,35,37,39,37.07692307692308,2.7827306272059005,3,2,0,1,3,12,2,7,6,11,2,0,0,0,0,0,0,0,0,0,0,4,12,0,0,2,0,9,5,3,1,0,7,0,5,9,0,2405,2730,3107.5,2690.3571428571427,757.4031146106927,0,0,0,1,11,8.666666666666666,1.0730867399773196,0,14
2015,MUNICIPIO,330010,2872,0,162,22,485,765,658,578,286,73,5,0,2850,21,26,31,26.313022284122564,6.676575524454298,11,137,924,1474,97,225,1296,219,5,1295,16,0,0,1754,0,2794,68,0,11,34,301,2467,19,346,2467,19,37,39,39,38.208333333333336,2.0229243701093687,10,597,203,214,1698,194,2678,1012,1840,2744,92,7,0,0,0,0,0,0,0,0,0,299,2844,4,14,10,0,1475,1397,1296,219,5,1295,16,260,2470,142,2900,3210,3530,3177.2531337047353,558.4868330213671,0,0,0,17,2829,8.95818692902319,0.7508692665032825,19,2834
2015,MUNICIPIO,330015,139,0,11,1,25,32,34,34,9,3,0,1,137,21,27,31,26.41007194244604,6.761799080598371,0,3,29,82,0,25,87,14,0,35,0,0,0,80,0,135,4,0,4,4,14,108,9,22,108,9,37.5,39,40,38.007194244604314,3.384740700101436,0,26,9,9,88,43,96,3,136,133,3,2,0,0,0,0,0,0,0,0,0,18,139,0,0,0,0,71,68,87,14,0,35,0,10,124,5,2952.5,3220,3480,3177.3741007194244,581.6030230542272,0,0,0,4,133,9.664233576642335,0.9177768236243311,3,133
2015,MUNICIPIO,330020,1722,0,24,11,327,483,402,312,155,29,2,1,1710,20,25,31,25.74506387921022,6.544847432578634,2,114,531,821,79,153,539,171,3,952,0,0,0,1054,0,1672,40,0,13,16,188,1288,80,217,1288,80,37,39,40,38.37791798107256,2.5094049268109346,5,318,303,219,671,355,1367,639,1074,1669,37,3,0,0,0,0,0,0,0,0,0,184,1715,3,3,1,0,877,845,539,171,3,952,0,148,1467,107,2940,3260,3565,3215.965737514518,565.6542293084376,0,0,0,9,558,9.352733686067019,0.9543033116242576,2,1698
2015,MUNICIPIO,330022,165,0,6,3,22,43,39,38,14,6,0,0,162,22,27,32,26.76969696969697,6.460597497876178,0,9,45,91,5,13,68,25,0,71,0,0,0,104,0,158,6,0,3,0,14,143,5,17,143,5,38,39,40,38.45454545454545,2.354172594162164,10,29,6,9,109,164,1,84,81,160,5,0,0,0,0,0,0,0,0,0,0,11,142,22,1,0,0,79,86,68,25,0,71,0,17,137,11,2840,3130,3425,3093.4,658.2396034953807,0,0,0,3,161,9.628048780487806,0.7525456821621096,1,163
2015,MUNICIPIO,330023,694,0,35,3,112,211,150,140,65,13,0,0,691,21,25,31,25.965417867435157,6.401340275968959,0,26,192,365,33,77,271,99,0,305,0,0,0,413,0,675,16,0,3,5,61,554,40,69,554,40,38,39,40,38.69532428355958,2.267082019713293,4,146,62,56,391,77,617,180,511,639,42,3,0,0,0,0,0,0,0,0,0,58,691,0,3,0,0,349,345,271,99,0,305,0,57,584,53,2936.25,3260,3570,3231.1383285302595,563.3399993463808,0,0,0,16,671,9.270742358078603,0.87368553612336175,2,684
2015,MUNICIPIO,330025,350,0,17,2,71,102,84,57,28,6,0,0,348,20,24.5,30,25.325714285714287,6.459676238799474,0,9,96,174,23,37,165,34,0,139,0,0,0,202,0,343,7,0,2,4,44,276,17,50,276,17,38,39,40,38.393586005830905,2.451796029368706,0,94,29,41,163,160,190,112,238,307,12,1,0,0,0,0,0,0,0,0,0,42,347,1,1,0,0,177,173,165,34,0,139,0,34,291,25,2950,3242.5,3600,3229.905714285714,594.1038853725987,0,0,0,7,243,9.092,0.9461059485403598,2,292
2015,MUNICIPIO,330030,1204,0,57,8,200,294,278,266,119,39,0,0,1196,21,26,31.25,26.52574750830565,6.727210648917931,2,39,316,661,36,144,455,241,2,473,0,0,0,693,0,1178,25,0,10,15,112,1024,17,137,1024,17,38,39,40,38.31239388794567,2.2493346602860833,15,347,72,162,567,484,720,328,876,1165,30,4,0,0,0,0,0,0,0,0,0,120,1193,2,8,1,0,577,627,455,241,2,473,0,123,1043,38,2840,3145,3455,3112.636212624585,535.9140067780983,0,0,0,20,1175,9.464435146443515,0.8906919062142188,7,1194
2015,MUNICIPIO,330040,2376,0,100,9,354,596,628,501,230,56,2,0,2367,21,26,31,26.60395622895623,6.404548476182181,2,64,578,1335,96,299,1042,275,16,983,3,0,0,1321,0,2321,53,0,8,33,224,2046,25,265,2046,25,38,38,39,38.19563356164384,2.018712828214069,3,479,128,143,1519,432,1944,688,1688,2274,76,0,0,0,0,0,0,0,0,0,0,208,2374,1,1,0,0,1201,1174,1042,275,16,983,3,212,2064,100,2865,3170,3490,3146.210437710438,553.3160333389551,0,0,0,39,2335,9.352148272957034,1.0093544861137622,23,2350
