ANO,NIVEL,CODMUNRES,POPR_RA,POPR_RE
2015,UF,33,15196150,10644353
2015,M,330010,176612,86606
2015,M,330015,10582,NA
2015,M,330020,115615,80782
2015,M,330022,11970,NA
2015,M,330023,30172,23965
2015,M,330025,28259,NA
2015,M,330030,96865,93694
2015,M,330040,176279,160254
2015,M,330045,386256,196024
2015,M,330050,16366,16000
2015,M,330060,32960,33500
2015,M,330070,152722,121303
2015,M,330080,48997,32000
2015,M,330090,11657,NA
2015,M,330100,437000,369972
2015,M,330110,15390,14500
2015,M,330093,4372,NA
2015,M,330115,8407,NA
2015,M,330120,NA,NA
2015,M,330130,39797,22991
2015,M,330095,8225,8225
2015,M,330140,NA,NA
2015,M,330150,20879,9706
2015,M,330160,8732,1578
2015,M,330170,761287,389657
2015,M,330180,7347,10129
2015,M,330185,38640,NA
2015,M,330187,25155,19980
2015,M,330190,184237,96884
2015,M,330200,106031,46662
2015,M,330205,12370,11545
2015,M,330210,20672,NA
2015,M,330220,91745,24282
2015,M,330225,28852,18897
2015,M,330227,73860,NA
2015,M,330230,6725,1398
2015,M,330240,201056,70500
2015,M,330245,5371,2530
2015,M,330250,185319,99496
2015,M,330260,37111,5316
2015,M,330270,85402,17708
2015,M,330280,NA,NA
2015,M,330285,165729,74641
2015,M,330290,24810,11300
2015,M,330300,26604,25865
2015,M,330310,12678,10840
2015,M,330320,157972,157972
2015,M,330330,496696,462403
2015,M,330340,161739,155993
2015,M,330350,755840,363748
2015,M,330360,36449,22706
2015,M,330370,40282,NA
2015,M,330380,29862,NA
2015,M,330385,19453,17460
2015,M,330390,280362,248992
2015,M,330395,21542,23887
2015,M,330400,27700,10044
2015,M,330410,17536,1420
2015,M,330411,17867,17682
2015,M,330412,13543,13543
2015,M,330414,122314,58501
2015,M,330415,19939,6762
2015,M,330420,119638,119375
2015,M,330430,49866,NA
2015,M,330440,12057,NA
2015,M,330450,6189,6189
2015,M,330452,125857,63124
2015,M,330455,6366564,5381010
2015,M,330460,5301,5910
2015,M,330470,40582,31551
2015,M,330480,29235,32798
2015,M,330475,30279,494
2015,M,330490,876861,400976
2015,M,330500,34539,3546
2015,M,330510,430218,225040
2015,M,330513,3807,NA
2015,M,330515,18030,NA
2015,M,330520,87995,69892
2015,M,330530,4665,NA
2015,M,330540,16301,NA
2015,M,330550,75561,60436
2015,M,330555,58683,27572
2015,M,330560,16929,9903
2015,M,330570,4606,4700
2015,M,330575,21964,10126
2015,M,330580,150817,34671
2015,M,330590,2874,NA
2015,M,330600,79250,78500
2015,M,330610,66590,29574
2015,M,330615,6079,NA
2015,M,330620,33751,18901
2015,M,330630,262851,260222
